,molecule,basis,bound 1 (sum over states),bound 2 (subspace invariant),exact
0,H,6-31g,-0.21364792027799964,-0.19626881126000228,-1.1102230246251565e-16
1,H (large basis set),aug-cc-pvtz,-0.10925243042515029,-0.08282374406955428,-2.636779683484747e-16
2,H$_2^+$,6-31g,-0.20436507754595318,-0.17750389776219078,6.661338147750939e-16
3,H$_2$,6-31g,-0.02395743326561564,-0.012915007798682154,0.5364419500334418
4,Li,6-31g,0.5359501811024493,0.5503831805299306,2.203327273726294
5,LiH,6-31g,1.226789962989825,1.2349054168594993,3.1451889688617074
6,water,sto-3g,28.63316942567968,28.62806055148039,38.11932239152727
7,O$_2$,sto-3g,67.42396399738766,67.42203600103443,84.6588349724721
8,NO,sto-3g,57.450086608267455,57.447868571239205,72.82663743155096
9,He,6-31g,-0.08532923764486607,-0.06034848579307894,0.9596912982639495
